Symbol,Name,Industry,Sector,CEO,Price,Market Cap,Revenue,Volume,52-Week Min,52-Week Max
amzn,"Amazon.com, Inc.",Internet Retail,Consumer Discretionary,Andrew R. Jassy,146.64,1.52T,554.03B,"25,502,924",81.43,149.26
an,"AutoNation, Inc.",Auto & Truck Dealerships,Consumer Discretionary,Michael M. Manley,135,5.74B,26.88B,"288,348",99.72,182.08
anab,"AnaptysBio, Inc.",Biotechnology,Healthcare,Daniel R. Faga,14.3,379.49M,14.96M,"88,996",13.36,32.44
ande,"The Andersons, Inc.",Food Distribution,Consumer Staples,Patrick E. Bowe,48.95,1.65B,16.21B,"50,002",33.2,53.6
aneb,"Anebulo Pharmaceuticals, Inc.",Biotechnology,Healthcare,Richard Anthony Cunningham,2.25,57.55M,n/a,249,1.62,4.05
anet,"Arista Networks, Inc.",Computer Hardware,Technology,Ms. Jayshree V. Ullal,220.03,68.44B,5.60B,"1,049,357",108.91,223.52
anf,Abercrombie & Fitch Co.,Apparel Retail,Consumer Discretionary,Ms. Fran  Horowitz,76.8,3.87B,3.85B,"634,988",21.03,78.32
angh,Anghami Inc.,Entertainment,Communication Services,Edgard Jean Maroun,2.16,59.73M,48.48M,"246,105",0.63,3.49
angi,Angi Inc.,Internet Content & Information,Communication Services,Joseph M. Levin,2.29,1.16B,1.58B,"1,130,979",1.55,4.18
apei,"American Public Education, Inc.",Education & Training Services,Consumer Staples,Ms. Angela K. Selden,7.77,137.65M,600.18M,"54,084",3.76,14.22
apg,APi Group Corporation,Engineering & Construction,Industrials,Russell A. Becker,30.43,7.16B,6.87B,"385,744",18.15,30.55
apge,"Apogee Therapeutics, Inc.",Biotechnology,Healthcare,Dr. Michael Thomas Henderson M.D.,18.63,943.05M,n/a,"44,547",14.19,25.54
aph,Amphenol Corporation,Electronic Components,Technology,Richard Adam Norwitt,90.68,54.25B,12.47B,"869,513",72,90.77
api,"Agora, Inc.",Software - Application,Technology,Bin  Zhao,2.62,265.93M,145.62M,"284,460",2.37,4.85
apld,Applied Digital Corporation,Capital Markets,Financials,Wesley  Cummins,4.79,508.11M,84.79M,"1,332,109",1.45,11.62
aple,"Apple Hospitality REIT, Inc.",REIT - Hotel & Motel,Real Estate,Justin G. Knight,16.51,3.78B,1.33B,"2,047,150",13.66,18.22
aplm,"Apollomics, Inc.",Biotechnology,Healthcare,Dr. Guo-Liang  Yu Ph.D.,1.12,101.11M,n/a,"2,047,177",0.55,49
apls,"Apellis Pharmaceuticals, Inc.",Biotechnology,Healthcare,"Dr. Cedric  Francois M.D., Ph.D.",49.81,5.90B,272.88M,"1,275,325",19.83,94.75
